Task #1009405059: depth 5, type 2, seed 1009405059, output 3101023037 (0 descendants)
Task #1580238525: depth 5, type 4, seed 1580238525, output 926311222 (0 descendants)
Task #1582799011: depth 5, type 1, seed 1582799011, output 280584 (0 descendants)
Task #1588315756: depth 5, type 2, seed 1588315756, output 2710900535 (0 descendants)
Task #1588904240: depth 5, type 5, seed 1588904240, output 1803491069 (0 descendants)
Task #1597949837: depth 5, type 1, seed 1597949837, output 737923 (0 descendants)
Task #1598122886: depth 5, type 3, seed 1598122886, output 20575 (0 descendants)
Task #1600748188: depth 5, type 5, seed 1600748188, output 1568652468 (0 descendants)
Task #1601446809: depth 2, type 5, seed 1601446809, output 985686646 (4 descendants)
Task #1603141194: depth 5, type 1, seed 1603141194, output 851838 (0 descendants)
Task #1604768823: depth 4, type 3, seed 1604768823, output 19162 (5 descendants)
Task #1607681688: depth 4, type 5, seed 1607681688, output 4237068181 (3 descendants)
Task #1610035579: depth 5, type 3, seed 1610035579, output 17275 (0 descendants)
Task #1610591141: depth 2, type 5, seed 1610591141, output 4220891841 (3 descendants)
Task #161114157: depth 5, type 4, seed 161114157, output 926102324 (0 descendants)
Task #1612893673: depth 5, type 1, seed 1612893673, output 485066 (0 descendants)
Task #1618067576: depth 5, type 3, seed 1618067576, output 20456 (0 descendants)
Task #1618670626: depth 5, type 4, seed 1618670626, output 1630680417 (0 descendants)
Task #1624240279: depth 3, type 5, seed 1624240279, output 720345450 (4 descendants)
Task #1630968524: depth 5, type 1, seed 1630968524, output 598016 (0 descendants)
Task #1636120292: depth 4, type 5, seed 1636120292, output 3335883622 (3 descendants)
Task #1638117611: depth 5, type 5, seed 1638117611, output 1757934080 (0 descendants)
Task #1643651830: depth 4, type 4, seed 1643651830, output 1630943027 (4 descendants)
Task #1649574081: depth 5, type 1, seed 1649574081, output 668408 (0 descendants)
Task #1654907558: depth 5, type 1, seed 1654907558, output 901986 (0 descendants)
Task #165603063: depth 4, type 3, seed 165603063, output 12130 (3 descendants)
Task #1657954754: depth 5, type 2, seed 1657954754, output 1903663110 (0 descendants)
Task #1660436300: depth 4, type 3, seed 1660436300, output 13146 (3 descendants)
Task #16626423: depth 5, type 1, seed 16626423, output 183488 (0 descendants)
Task #1666111159: depth 5, type 2, seed 1666111159, output 1167945670 (0 descendants)
Task #1666755914: depth 5, type 2, seed 1666755914, output 1475223902 (0 descendants)
Task #1674625760: depth 5, type 2, seed 1674625760, output 365913464 (0 descendants)
Task #1675164636: depth 5, type 5, seed 1675164636, output 1870151609 (0 descendants)
Task #1675496488: depth 5, type 5, seed 1675496488, output 2627652599 (0 descendants)
Task #1676119349: depth 5, type 4, seed 1676119349, output 892352869 (0 descendants)
Task #1676635145: depth 5, type 5, seed 1676635145, output 2276885406 (0 descendants)
Task #167810325: depth 5, type 5, seed 167810325, output 370851109 (0 descendants)
Task #168624419: depth 5, type 3, seed 168624419, output 12761 (0 descendants)
Task #1688622206: depth 5, type 1, seed 1688622206, output 554631 (0 descendants)
Task #168880816: depth 5, type 5, seed 168880816, output 297847207 (0 descendants)
Task #1689370094: depth 5, type 1, seed 1689370094, output 799049 (0 descendants)
Task #1689877207: depth 5, type 5, seed 1689877207, output 2495678012 (0 descendants)
Task #1691549441: depth 5, type 2, seed 1691549441, output 801485465 (0 descendants)
Task #1693318264: depth 5, type 3, seed 1693318264, output 12274 (0 descendants)
Task #1693437316: depth 5, type 3, seed 1693437316, output 12857 (0 descendants)
Task #1694910819: depth 5, type 5, seed 1694910819, output 334651098 (0 descendants)
Task #169555966: depth 4, type 2, seed 169555966, output 538724279 (3 descendants)
Task #1699428136: depth 5, type 2, seed 1699428136, output 1636479251 (0 descendants)
Task #1700679395: depth 5, type 5, seed 1700679395, output 825524311 (0 descendants)
Task #1705358097: depth 5, type 5, seed 1705358097, output 3774992176 (0 descendants)
Task #1705772978: depth 3, type 2, seed 1705772978, output 1210775815 (4 descendants)
Task #1705879458: depth 5, type 1, seed 1705879458, output 450000 (0 descendants)
Task #1711502064: depth 3, type 5, seed 1711502064, output 756891376 (4 descendants)
Task #1711824944: depth 4, type 3, seed 1711824944, output 16747 (4 descendants)
Task #1714476139: depth 2, type 1, seed 1714476139, output 1049504 (4 descendants)
Task #1717021951: depth 5, type 4, seed 1717021951, output 1700947298 (0 descendants)
Task #1717218616: depth 4, type 2, seed 1717218616, output 1928339915 (4 descendants)
Task #1720363223: depth 5, type 4, seed 1720363223, output 929129777 (0 descendants)
Task #1723103896: depth 5, type 1, seed 1723103896, output 938514 (0 descendants)
Task #1727218399: depth 5, type 3, seed 1727218399, output 13529 (0 descendants)
Task #172781099: depth 5, type 4, seed 172781099, output 845439539 (0 descendants)
Task #1733058322: depth 5, type 5, seed 1733058322, output 3160290343 (0 descendants)
Task #1734834770: depth 5, type 5, seed 1734834770, output 1221669829 (0 descendants)
Task #1741689102: depth 5, type 1, seed 1741689102, output 737723 (0 descendants)
Task #174207065: depth 5, type 4, seed 174207065, output 926299446 (0 descendants)
Task #1744434730: depth 5, type 3, seed 1744434730, output 18026 (0 descendants)
Task #1746496004: depth 5, type 4, seed 1746496004, output 962998881 (0 descendants)
Task #1747945254: depth 5, type 4, seed 1747945254, output 963010865 (0 descendants)
Task #1752958080: depth 5, type 3, seed 1752958080, output 18996 (0 descendants)
Task #1754616061: depth 5, type 4, seed 1754616061, output 1633759797 (0 descendants)
Task #1760987165: depth 3, type 1, seed 1760987165, output 966850 (4 descendants)
Task #1761857607: depth 5, type 4, seed 1761857607, output 909128249 (0 descendants)
Task #1763107428: depth 5, type 1, seed 1763107428, output 279312 (0 descendants)
Task #1764004721: depth 5, type 5, seed 1764004721, output 384902973 (0 descendants)
Task #1765881635: depth 5, type 3, seed 1765881635, output 15130 (0 descendants)
Task #1768811931: depth 5, type 3, seed 1768811931, output 19102 (0 descendants)
Task #1770747450: depth 5, type 3, seed 1770747450, output 14241 (0 descendants)
Task #1772394419: depth 5, type 5, seed 1772394419, output 3878430265 (0 descendants)
Task #1777176960: depth 5, type 1, seed 1777176960, output 25327 (0 descendants)
Task #1779355555: depth 5, type 3, seed 1779355555, output 15348 (0 descendants)
Task #1786899042: depth 3, type 1, seed 1786899042, output 216431 (4 descendants)
Task #1792243981: depth 5, type 3, seed 1792243981, output 14828 (0 descendants)
Task #1793634582: depth 5, type 1, seed 1793634582, output 475884 (0 descendants)
Task #1796790817: depth 4, type 5, seed 1796790817, output 1562152941 (4 descendants)
Task #1801937604: depth 5, type 2, seed 1801937604, output 3351294578 (0 descendants)
Task #1803948388: depth 3, type 4, seed 1803948388, output 892494135 (5 descendants)
Task #1812155994: depth 5, type 1, seed 1812155994, output 595419 (0 descendants)
Task #1813899484: depth 5, type 2, seed 1813899484, output 1071885433 (0 descendants)
Task #1818713734: depth 4, type 1, seed 1818713734, output 817648 (5 descendants)
Task #1818923439: depth 5, type 2, seed 1818923439, output 3920707840 (0 descendants)
Task #18194821: depth 5, type 4, seed 18194821, output 812003378 (0 descendants)
Task #1822862206: depth 5, type 2, seed 1822862206, output 3689182448 (0 descendants)
Task #1826586045: depth 5, type 2, seed 1826586045, output 3977986853 (0 descendants)
Task #1828609601: depth 5, type 3, seed 1828609601, output 13054 (0 descendants)
Task #1829307395: depth 5, type 4, seed 1829307395, output 912667187 (0 descendants)
Task #1830282513: depth 5, type 5, seed 1830282513, output 1840625293 (0 descendants)
Task #183107905: depth 3, type 4, seed 183107905, output 1630876977 (4 descendants)
Task #1831273133: depth 5, type 2, seed 1831273133, output 1386266356 (0 descendants)
Task #1834088899: depth 4, type 4, seed 1834088899, output 959853157 (4 descendants)
Task #183527558: depth 5, type 1, seed 183527558, output 1025709 (0 descendants)
Task #1845662289: depth 5, type 2, seed 1845662289, output 3716130500 (0 descendants)
Task #1848387777: depth 5, type 2, seed 1848387777, output 1101394239 (0 descendants)
Task #1854627444: depth 5, type 5, seed 1854627444, output 2161104741 (0 descendants)
Task #1858064509: depth 5, type 5, seed 1858064509, output 363898652 (0 descendants)
Task #1858101911: depth 5, type 5, seed 1858101911, output 3900165890 (0 descendants)
Task #1863440227: depth 5, type 5, seed 1863440227, output 1488389673 (0 descendants)
Task #1864804358: depth 5, type 1, seed 1864804358, output 953711 (0 descendants)
Task #1873679395: depth 5, type 3, seed 1873679395, output 20278 (0 descendants)
Task #1877687319: depth 5, type 5, seed 1877687319, output 3538100202 (0 descendants)
Task #1877707720: depth 4, type 5, seed 1877707720, output 3828179873 (4 descendants)
Task #1882585889: depth 5, type 4, seed 1882585889, output 895825200 (0 descendants)
Task #1883925363: depth 5, type 2, seed 1883925363, output 2542209509 (0 descendants)
Task #1885414225: depth 5, type 4, seed 1885414225, output 929248819 (0 descendants)
Task #1888385256: depth 5, type 1, seed 1888385256, output 324886 (0 descendants)
Task #1890049587: depth 5, type 2, seed 1890049587, output 215133034 (0 descendants)
Task #1892766184: depth 5, type 5, seed 1892766184, output 3378884959 (0 descendants)
Task #189529732: depth 5, type 4, seed 189529732, output 842282290 (0 descendants)
Task #1897559768: depth 5, type 5, seed 1897559768, output 3548576093 (0 descendants)
Task #1900618432: depth 5, type 4, seed 1900618432, output 845361718 (0 descendants)
Task #1901422344: depth 5, type 3, seed 1901422344, output 19110 (0 descendants)
Task #1909488363: depth 5, type 4, seed 1909488363, output 858809649 (0 descendants)
Task #1928843255: depth 1, type 1, seed 1928843255, output 82673 (4 descendants)
Task #1931840202: depth 4, type 4, seed 1931840202, output 1684103991 (5 descendants)
Task #1932341986: depth 5, type 1, seed 1932341986, output 879957 (0 descendants)
Task #1937825947: depth 5, type 3, seed 1937825947, output 26858 (0 descendants)
Task #1938368415: depth 5, type 1, seed 1938368415, output 952973 (0 descendants)
Task #1939037304: depth 5, type 4, seed 1939037304, output 845571122 (0 descendants)
Task #1945045993: depth 5, type 4, seed 1945045993, output 875717172 (0 descendants)
Task #1945345723: depth 5, type 2, seed 1945345723, output 3928970896 (0 descendants)
Task #1946344772: depth 5, type 2, seed 1946344772, output 3030978879 (0 descendants)
Task #1946987833: depth 5, type 2, seed 1946987833, output 1324339316 (0 descendants)
Task #1948090665: depth 5, type 4, seed 1948090665, output 909719863 (0 descendants)
Task #1948477641: depth 5, type 5, seed 1948477641, output 311429695 (0 descendants)
Task #1955750411: depth 5, type 5, seed 1955750411, output 4116743968 (0 descendants)
Task #1965844523: depth 5, type 2, seed 1965844523, output 2939501392 (0 descendants)
Task #1968703331: depth 3, type 1, seed 1968703331, output 27785 (4 descendants)
Task #1969558506: depth 5, type 2, seed 1969558506, output 3587800097 (0 descendants)
Task #1970543905: depth 5, type 4, seed 1970543905, output 895760182 (0 descendants)
Task #1973208508: depth 5, type 5, seed 1973208508, output 3120211887 (0 descendants)
Task #1976124769: depth 4, type 4, seed 1976124769, output 1700935475 (4 descendants)
Task #1977663580: depth 5, type 2, seed 1977663580, output 1190462345 (0 descendants)
Task #1982296335: depth 4, type 3, seed 1982296335, output 12987 (4 descendants)
Task #1989727319: depth 5, type 2, seed 1989727319, output 1338036891 (0 descendants)
Task #1993311843: depth 5, type 3, seed 1993311843, output 14167 (0 descendants)
Task #1994630368: depth 5, type 5, seed 1994630368, output 3560576275 (0 descendants)
Task #2000357898: depth 5, type 1, seed 2000357898, output 69710 (0 descendants)
Task #2005572775: depth 5, type 4, seed 2005572775, output 862073913 (0 descendants)
Task #2010591211: depth 4, type 1, seed 2010591211, output 312438 (3 descendants)
Task #2024637674: depth 5, type 1, seed 2024637674, output 1029554 (0 descendants)
Task #2027444801: depth 5, type 3, seed 2027444801, output 14040 (0 descendants)
Task #2029027602: depth 5, type 2, seed 2029027602, output 105834093 (0 descendants)
Task #2029500480: depth 4, type 1, seed 2029500480, output 502447 (4 descendants)
Task #2029645842: depth 4, type 3, seed 2029645842, output 18369 (5 descendants)
Task #2032897155: depth 5, type 3, seed 2032897155, output 21290 (0 descendants)
Task #2033239835: depth 4, type 1, seed 2033239835, output 1067650 (5 descendants)
Task #2036225324: depth 3, type 1, seed 2036225324, output 398290 (3 descendants)
Task #203922829: depth 5, type 2, seed 203922829, output 3509203289 (0 descendants)
Task #2040865954: depth 5, type 4, seed 2040865954, output 909652580 (0 descendants)
Task #2043916991: depth 5, type 1, seed 2043916991, output 81931 (0 descendants)
Task #2053155028: depth 5, type 1, seed 2053155028, output 803456 (0 descendants)
Task #2064196915: depth 3, type 1, seed 2064196915, output 1003679 (3 descendants)
Task #2070251789: depth 5, type 4, seed 2070251789, output 862073955 (0 descendants)
Task #2081993401: depth 5, type 1, seed 2081993401, output 948695 (0 descendants)
Task #2088545665: depth 5, type 5, seed 2088545665, output 4100567965 (0 descendants)
Task #2089136063: depth 5, type 5, seed 2089136063, output 22054974 (0 descendants)
Task #2093876938: depth 5, type 2, seed 2093876938, output 333049092 (0 descendants)
Task #2097829659: depth 5, type 4, seed 2097829659, output 808870960 (0 descendants)
Task #2099356633: depth 5, type 5, seed 2099356633, output 1817643604 (0 descendants)
Task #2102629976: depth 5, type 4, seed 2102629976, output 825320757 (0 descendants)
Task #2102838339: depth 3, type 5, seed 2102838339, output 3823316074 (5 descendants)
Task #2109397719: depth 5, type 5, seed 2109397719, output 4246412333 (0 descendants)
Task #2115287482: depth 5, type 3, seed 2115287482, output 23752 (0 descendants)
Task #2115805892: depth 5, type 3, seed 2115805892, output 21423 (0 descendants)
Task #2119255964: depth 5, type 2, seed 2119255964, output 2912634652 (0 descendants)
Task #2120946719: depth 4, type 1, seed 2120946719, output 542411 (5 descendants)
Task #2126799867: depth 5, type 1, seed 2126799867, output 544363 (0 descendants)
Task #2128170184: depth 5, type 5, seed 2128170184, output 3238037272 (0 descendants)
Task #2130699395: depth 5, type 1, seed 2130699395, output 466769 (0 descendants)
Task #2131681027: depth 5, type 5, seed 2131681027, output 3008743200 (0 descendants)
Task #2132965912: depth 5, type 2, seed 2132965912, output 2787918009 (0 descendants)
Task #2140228406: depth 4, type 1, seed 2140228406, output 616075 (4 descendants)
Task #2142422343: depth 5, type 1, seed 2142422343, output 168792 (0 descendants)
Task #2144476102: depth 5, type 4, seed 2144476102, output 942957414 (0 descendants)
Task #214676733: depth 5, type 2, seed 214676733, output 2688629577 (0 descendants)
Task #2147953643: depth 5, type 4, seed 2147953643, output 946157668 (0 descendants)
Task #2148462530: depth 5, type 2, seed 2148462530, output 228090168 (0 descendants)
Task #2148872196: depth 5, type 5, seed 2148872196, output 2755143704 (0 descendants)
Task #2150760275: depth 4, type 3, seed 2150760275, output 12942 (3 descendants)
Task #2156217574: depth 4, type 3, seed 2156217574, output 21450 (4 descendants)
