Task #1003913882: depth 12, type 2, seed 1003913882, output 1694948583 (0 descendants)
Task #1292338079: depth 12, type 4, seed 1292338079, output 946222899 (0 descendants)
Task #1296911321: depth 11, type 2, seed 1296911321, output 3329585444 (0 descendants)
Task #1297967597: depth 10, type 1, seed 1297967597, output 454497 (3 descendants)
Task #1304167103: depth 12, type 1, seed 1304167103, output 67995 (0 descendants)
Task #1306587465: depth 11, type 4, seed 1306587465, output 1650746681 (1 descendants)
Task #130831996: depth 8, type 5, seed 130831996, output 2070307633 (1 descendants)
Task #1315090303: depth 10, type 3, seed 1315090303, output 14774 (1 descendants)
Task #131617598: depth 12, type 3, seed 131617598, output 17996 (0 descendants)
Task #131927564: depth 11, type 3, seed 131927564, output 16414 (2 descendants)
Task #1323353111: depth 12, type 5, seed 1323353111, output 1944447280 (0 descendants)
Task #1325130109: depth 11, type 2, seed 1325130109, output 2864793357 (1 descendants)
Task #132690351: depth 11, type 1, seed 132690351, output 700578 (2 descendants)
Task #133815486: depth 12, type 4, seed 133815486, output 825778483 (0 descendants)
Task #1338246124: depth 10, type 1, seed 1338246124, output 817318 (3 descendants)
Task #1339212597: depth 12, type 5, seed 1339212597, output 1570520305 (0 descendants)
Task #1341392756: depth 8, type 2, seed 1341392756, output 1685369838 (2 descendants)
Task #1342408097: depth 11, type 1, seed 1342408097, output 531419 (1 descendants)
Task #134483264: depth 10, type 5, seed 134483264, output 247956948 (2 descendants)
Task #134602176: depth 11, type 4, seed 134602176, output 809054308 (0 descendants)
Task #134627340: depth 12, type 1, seed 134627340, output 782115 (0 descendants)
Task #134630933: depth 11, type 3, seed 134630933, output 20113 (2 descendants)
Task #1348003068: depth 11, type 4, seed 1348003068, output 909730147 (1 descendants)
Task #1349561754: depth 11, type 4, seed 1349561754, output 828585061 (0 descendants)
Task #1351282141: depth 1, type 5, seed 1351282141, output 1971615495 (1 descendants)
Task #1356790454: depth 11, type 3, seed 1356790454, output 17183 (3 descendants)
Task #1360438758: depth 7, type 3, seed 1360438758, output 16986 (3 descendants)
Task #1360752231: depth 12, type 4, seed 1360752231, output 960063025 (0 descendants)
Task #1365182791: depth 10, type 5, seed 1365182791, output 525232671 (4 descendants)
Task #1368683: depth 10, type 5, seed 1368683, output 3073608355 (1 descendants)
Task #1370123693: depth 8, type 5, seed 1370123693, output 2600579957 (2 descendants)
Task #1371001833: depth 12, type 2, seed 1371001833, output 2704339310 (0 descendants)
Task #1371788861: depth 12, type 2, seed 1371788861, output 628924833 (0 descendants)
Task #1377424753: depth 11, type 5, seed 1377424753, output 3243984196 (0 descendants)
Task #1381061896: depth 10, type 4, seed 1381061896, output 1664574566 (2 descendants)
Task #1382632980: depth 12, type 2, seed 1382632980, output 2555489326 (0 descendants)
Task #1384023378: depth 12, type 4, seed 1384023378, output 825243188 (0 descendants)
Task #1384722390: depth 12, type 5, seed 1384722390, output 3145009847 (0 descendants)
Task #1385621414: depth 11, type 1, seed 1385621414, output 504171 (2 descendants)
Task #1386357068: depth 12, type 5, seed 1386357068, output 2025863328 (0 descendants)
Task #1386398620: depth 12, type 3, seed 1386398620, output 22582 (0 descendants)
Task #139005885: depth 11, type 5, seed 139005885, output 2069486975 (1 descendants)
Task #1390683995: depth 11, type 5, seed 1390683995, output 3441560697 (2 descendants)
Task #1392803871: depth 12, type 3, seed 1392803871, output 16768 (0 descendants)
Task #1394337065: depth 11, type 1, seed 1394337065, output 289723 (2 descendants)
Task #14008961: depth 12, type 4, seed 14008961, output 1667512678 (0 descendants)
Task #1407175473: depth 10, type 1, seed 1407175473, output 619316 (2 descendants)
Task #1427845746: depth 12, type 5, seed 1427845746, output 980312180 (0 descendants)
Task #1430953048: depth 11, type 1, seed 1430953048, output 897539 (2 descendants)
Task #1433947320: depth 12, type 3, seed 1433947320, output 13825 (0 descendants)
Task #1434350217: depth 12, type 3, seed 1434350217, output 14536 (0 descendants)
Task #1438463525: depth 12, type 3, seed 1438463525, output 14054 (0 descendants)
Task #1440446266: depth 12, type 5, seed 1440446266, output 3287613101 (0 descendants)
Task #1441000722: depth 12, type 4, seed 1441000722, output 1630757686 (0 descendants)
Task #144117379: depth 9, type 4, seed 144117379, output 1667577913 (3 descendants)
Task #1441439770: depth 4, type 3, seed 1441439770, output 16349 (3 descendants)
Task #144234718: depth 10, type 5, seed 144234718, output 2209898078 (2 descendants)
Task #14506354: depth 12, type 4, seed 14506354, output 811937843 (0 descendants)
Task #1453311795: depth 12, type 4, seed 1453311795, output 926233700 (0 descendants)
Task #1455934827: depth 12, type 1, seed 1455934827, output 533830 (0 descendants)
Task #1457788389: depth 11, type 4, seed 1457788389, output 909533494 (0 descendants)
Task #1461317760: depth 12, type 2, seed 1461317760, output 3679897480 (0 descendants)
Task #1463123823: depth 12, type 4, seed 1463123823, output 909718067 (0 descendants)
Task #146456837: depth 6, type 2, seed 146456837, output 2781241695 (2 descendants)
Task #1466498194: depth 11, type 5, seed 1466498194, output 1454483957 (4 descendants)
Task #1475347575: depth 9, type 1, seed 1475347575, output 436590 (2 descendants)
Task #1476051911: depth 10, type 1, seed 1476051911, output 854313 (2 descendants)
Task #1479953798: depth 12, type 4, seed 1479953798, output 1664234806 (0 descendants)
Task #1483130967: depth 12, type 2, seed 1483130967, output 660080054 (0 descendants)
Task #1485188182: depth 10, type 4, seed 1485188182, output 845361971 (2 descendants)
Task #148948682: depth 10, type 3, seed 148948682, output 19901 (0 descendants)
Task #1492817936: depth 12, type 2, seed 1492817936, output 4078976565 (0 descendants)
Task #1494674234: depth 9, type 4, seed 1494674234, output 926103393 (2 descendants)
Task #1495552344: depth 12, type 4, seed 1495552344, output 842293812 (0 descendants)
Task #149695728: depth 12, type 4, seed 149695728, output 808990521 (0 descendants)
Task #1497247053: depth 12, type 2, seed 1497247053, output 4282458768 (0 descendants)
Task #1497711548: depth 10, type 3, seed 1497711548, output 11736 (1 descendants)
Task #1500102717: depth 11, type 3, seed 1500102717, output 20467 (0 descendants)
Task #1503970811: depth 9, type 5, seed 1503970811, output 2912359665 (1 descendants)
Task #1504559168: depth 12, type 5, seed 1504559168, output 763766986 (0 descendants)
Task #1505778409: depth 9, type 2, seed 1505778409, output 2915576965 (2 descendants)
Task #1507089478: depth 10, type 5, seed 1507089478, output 1061594530 (1 descendants)
Task #1509466653: depth 12, type 4, seed 1509466653, output 1717778533 (0 descendants)
Task #1512701772: depth 9, type 5, seed 1512701772, output 2718232873 (3 descendants)
Task #1520120606: depth 11, type 2, seed 1520120606, output 3679259339 (1 descendants)
Task #1540202999: depth 9, type 5, seed 1540202999, output 1896292176 (2 descendants)
Task #1541268166: depth 12, type 1, seed 1541268166, output 327795 (0 descendants)
Task #1543794075: depth 8, type 2, seed 1543794075, output 1826007783 (1 descendants)
Task #1544389124: depth 11, type 2, seed 1544389124, output 2169468307 (1 descendants)
Task #1548143113: depth 12, type 2, seed 1548143113, output 157930973 (0 descendants)
Task #1549568781: depth 12, type 3, seed 1549568781, output 19053 (0 descendants)
Task #1564060180: depth 10, type 1, seed 1564060180, output 567639 (4 descendants)
Task #1565777879: depth 11, type 4, seed 1565777879, output 808466225 (2 descendants)
Task #1566186630: depth 12, type 5, seed 1566186630, output 3599238791 (0 descendants)
Task #1575344002: depth 12, type 4, seed 1575344002, output 1630823778 (0 descendants)
Task #157821029: depth 10, type 5, seed 157821029, output 3930226571 (3 descendants)
Task #15787860: depth 12, type 4, seed 15787860, output 909129569 (0 descendants)
Task #1582418982: depth 12, type 1, seed 1582418982, output 90403 (0 descendants)
Task #1582761652: depth 12, type 4, seed 1582761652, output 1714958643 (0 descendants)
Task #1583578127: depth 10, type 1, seed 1583578127, output 824187 (2 descendants)
Task #1584122209: depth 11, type 4, seed 1584122209, output 1647719526 (4 descendants)
Task #158668942: depth 11, type 4, seed 158668942, output 1634022960 (0 descendants)
Task #1589552801: depth 10, type 2, seed 1589552801, output 1208157652 (1 descendants)
Task #1592003759: depth 12, type 2, seed 1592003759, output 620140329 (0 descendants)
Task #1592521907: depth 10, type 4, seed 1592521907, output 825241957 (0 descendants)
Task #1593939061: depth 11, type 3, seed 1593939061, output 19544 (1 descendants)
Task #1597256538: depth 12, type 1, seed 1597256538, output 762985 (0 descendants)
Task #1600840695: depth 11, type 4, seed 1600840695, output 828454966 (2 descendants)
Task #1600855813: depth 7, type 5, seed 1600855813, output 747821476 (4 descendants)
Task #1603013647: depth 12, type 3, seed 1603013647, output 16734 (0 descendants)
Task #1605944740: depth 12, type 5, seed 1605944740, output 1154007496 (0 descendants)
Task #1612335371: depth 12, type 1, seed 1612335371, output 479800 (0 descendants)
Task #1613285517: depth 12, type 2, seed 1613285517, output 620878431 (0 descendants)
Task #1618033988: depth 0, type 1, seed 1618033988, output 728308 (2 descendants)
Task #1626312473: depth 10, type 3, seed 1626312473, output 17398 (3 descendants)
Task #1628197763: depth 12, type 3, seed 1628197763, output 20218 (0 descendants)
Task #1628299600: depth 12, type 3, seed 1628299600, output 19357 (0 descendants)
Task #1628942780: depth 10, type 3, seed 1628942780, output 14962 (1 descendants)
Task #1629265358: depth 12, type 4, seed 1629265358, output 811807796 (0 descendants)
Task #1639682772: depth 12, type 2, seed 1639682772, output 2499986836 (0 descendants)
Task #1646677822: depth 5, type 1, seed 1646677822, output 885641 (2 descendants)
Task #1650236278: depth 12, type 3, seed 1650236278, output 18115 (0 descendants)
Task #1653088503: depth 10, type 5, seed 1653088503, output 4090296619 (2 descendants)
Task #1653289526: depth 11, type 3, seed 1653289526, output 16035 (2 descendants)
Task #1658863883: depth 9, type 2, seed 1658863883, output 2438002325 (1 descendants)
Task #1659705289: depth 12, type 1, seed 1659705289, output 442701 (0 descendants)
Task #1663677669: depth 12, type 3, seed 1663677669, output 25252 (0 descendants)
Task #1664486018: depth 11, type 3, seed 1664486018, output 17167 (3 descendants)
Task #1664750117: depth 12, type 4, seed 1664750117, output 1681077042 (0 descendants)
Task #1664984977: depth 12, type 2, seed 1664984977, output 600331595 (0 descendants)
Task #1677384971: depth 12, type 2, seed 1677384971, output 1688659743 (0 descendants)
Task #1683288398: depth 12, type 5, seed 1683288398, output 2189104060 (0 descendants)
Task #1684401586: depth 12, type 2, seed 1684401586, output 2761945282 (0 descendants)
Task #1684792090: depth 12, type 3, seed 1684792090, output 15692 (0 descendants)
Task #1685266897: depth 9, type 3, seed 1685266897, output 12675 (2 descendants)
Task #1689896863: depth 8, type 2, seed 1689896863, output 1793249534 (5 descendants)
Task #1692288211: depth 11, type 2, seed 1692288211, output 1330918037 (4 descendants)
Task #1695875077: depth 11, type 5, seed 1695875077, output 1473205681 (4 descendants)
Task #1696664669: depth 12, type 3, seed 1696664669, output 10548 (0 descendants)
Task #1697705391: depth 10, type 4, seed 1697705391, output 912537138 (1 descendants)
Task #170094695: depth 6, type 3, seed 170094695, output 10069 (1 descendants)
Task #1703402979: depth 12, type 4, seed 1703402979, output 1698260018 (0 descendants)
Task #1706223615: depth 9, type 3, seed 1706223615, output 26485 (2 descendants)
Task #1710303550: depth 9, type 3, seed 1710303550, output 12475 (1 descendants)
Task #1711203480: depth 6, type 4, seed 1711203480, output 878863717 (2 descendants)
Task #1712852789: depth 11, type 1, seed 1712852789, output 847877 (2 descendants)
Task #171441055: depth 12, type 1, seed 171441055, output 188084 (0 descendants)
Task #1720172509: depth 12, type 2, seed 1720172509, output 3359731447 (0 descendants)
Task #1721918469: depth 11, type 2, seed 1721918469, output 3828850447 (2 descendants)
Task #1728985234: depth 10, type 4, seed 1728985234, output 825779555 (1 descendants)
Task #1734968090: depth 12, type 3, seed 1734968090, output 16773 (0 descendants)
Task #1735099832: depth 10, type 2, seed 1735099832, output 3587574771 (0 descendants)
Task #1741432646: depth 11, type 3, seed 1741432646, output 15488 (1 descendants)
Task #1742434208: depth 12, type 1, seed 1742434208, output 97226 (0 descendants)
Task #174276066: depth 11, type 4, seed 174276066, output 825570659 (1 descendants)
Task #1751120368: depth 11, type 5, seed 1751120368, output 2856904919 (3 descendants)
Task #175125871: depth 12, type 2, seed 175125871, output 2379678518 (0 descendants)
Task #1753139683: depth 12, type 1, seed 1753139683, output 787026 (0 descendants)
Task #1757073196: depth 10, type 2, seed 1757073196, output 1847645374 (0 descendants)
Task #1758966615: depth 10, type 2, seed 1758966615, output 1049257761 (3 descendants)
Task #1759362843: depth 11, type 3, seed 1759362843, output 20377 (2 descendants)
Task #1762209122: depth 10, type 2, seed 1762209122, output 1156948749 (1 descendants)
Task #1762552690: depth 12, type 5, seed 1762552690, output 712726211 (0 descendants)
Task #17690409: depth 5, type 3, seed 17690409, output 12395 (0 descendants)
Task #1771377056: depth 12, type 2, seed 1771377056, output 2460950101 (0 descendants)
Task #1777897403: depth 12, type 1, seed 1777897403, output 500851 (0 descendants)
Task #1779933177: depth 12, type 5, seed 1779933177, output 1866877291 (0 descendants)
Task #178548798: depth 11, type 2, seed 178548798, output 3102203914 (3 descendants)
Task #1790479243: depth 8, type 1, seed 1790479243, output 1038860 (2 descendants)
Task #1801136681: depth 10, type 3, seed 1801136681, output 24582 (5 descendants)
Task #1801472191: depth 11, type 5, seed 1801472191, output 2017886477 (1 descendants)
Task #1803019126: depth 12, type 4, seed 1803019126, output 842543923 (0 descendants)
Task #1805828619: depth 11, type 5, seed 1805828619, output 2733370792 (1 descendants)
Task #1807393613: depth 12, type 1, seed 1807393613, output 529267 (0 descendants)
Task #1808791900: depth 12, type 1, seed 1808791900, output 478859 (0 descendants)
Task #1813117326: depth 12, type 1, seed 1813117326, output 406643 (0 descendants)
Task #1817109185: depth 8, type 4, seed 1817109185, output 892482101 (3 descendants)
Task #1817715742: depth 12, type 3, seed 1817715742, output 17337 (0 descendants)
Task #18195929: depth 7, type 1, seed 18195929, output 523986 (1 descendants)
Task #1820353009: depth 11, type 5, seed 1820353009, output 53642809 (0 descendants)
Task #1822216966: depth 8, type 3, seed 1822216966, output 10659 (1 descendants)
Task #1825381968: depth 12, type 1, seed 1825381968, output 125049 (0 descendants)
Task #1831079034: depth 2, type 5, seed 1831079034, output 1932306559 (2 descendants)
Task #183115350: depth 12, type 1, seed 183115350, output 749849 (0 descendants)
Task #1832005268: depth 12, type 5, seed 1832005268, output 522762434 (0 descendants)
Task #1835663059: depth 12, type 4, seed 1835663059, output 1714697779 (0 descendants)
Task #1838756621: depth 10, type 4, seed 1838756621, output 1684431973 (0 descendants)
Task #1838766556: depth 12, type 1, seed 1838766556, output 636484 (0 descendants)
Task #1841101233: depth 11, type 2, seed 1841101233, output 3329860328 (3 descendants)
Task #1841506415: depth 11, type 1, seed 1841506415, output 197099 (2 descendants)
Task #1842206839: depth 10, type 2, seed 1842206839, output 276377840 (2 descendants)
Task #1845212180: depth 12, type 1, seed 1845212180, output 899834 (0 descendants)
Task #1846259142: depth 12, type 2, seed 1846259142, output 1024513856 (0 descendants)
Task #1850751380: depth 9, type 5, seed 1850751380, output 360772708 (3 descendants)
Task #1853795925: depth 10, type 3, seed 1853795925, output 26884 (2 descendants)
Task #1856713532: depth 8, type 1, seed 1856713532, output 483124 (0 descendants)
Task #1857488651: depth 9, type 3, seed 1857488651, output 23375 (1 descendants)
Task #1863078632: depth 11, type 1, seed 1863078632, output 844452 (3 descendants)
Task #1864034640: depth 12, type 4, seed 1864034640, output 1717713203 (0 descendants)
Task #186406496: depth 5, type 3, seed 186406496, output 11377 (0 descendants)
Task #1865237419: depth 11, type 5, seed 1865237419, output 2440972939 (1 descendants)
Task #1865626393: depth 12, type 3, seed 1865626393, output 15326 (0 descendants)
Task #1871874844: depth 9, type 1, seed 1871874844, output 781974 (3 descendants)
Task #1881121321: depth 11, type 2, seed 1881121321, output 2038319865 (1 descendants)
Task #1882106751: depth 10, type 4, seed 1882106751, output 875835702 (3 descendants)
Task #1882297362: depth 12, type 1, seed 1882297362, output 960757 (0 descendants)
Task #1882759788: depth 7, type 1, seed 1882759788, output 836266 (0 descendants)
Task #1886323294: depth 12, type 4, seed 1886323294, output 875835697 (0 descendants)
Task #1889628847: depth 12, type 2, seed 1889628847, output 1754536207 (0 descendants)
Task #1897617011: depth 12, type 4, seed 1897617011, output 926049080 (0 descendants)
Task #1900231089: depth 11, type 4, seed 1900231089, output 825833010 (3 descendants)
Task #1900263298: depth 11, type 3, seed 1900263298, output 18119 (3 descendants)
Task #190192060: depth 11, type 4, seed 190192060, output 926180962 (2 descendants)
Task #1902191391: depth 12, type 3, seed 1902191391, output 20866 (0 descendants)
Task #1903340380: depth 10, type 4, seed 1903340380, output 808608307 (1 descendants)
Task #1905854361: depth 9, type 4, seed 1905854361, output 878928437 (0 descendants)
Task #1912185377: depth 12, type 4, seed 1912185377, output 1664693859 (0 descendants)
Task #1912792657: depth 12, type 4, seed 1912792657, output 1633825378 (0 descendants)
Task #1915061742: depth 10, type 4, seed 1915061742, output 1647587376 (2 descendants)
Task #1918886328: depth 12, type 3, seed 1918886328, output 19827 (0 descendants)
Task #1926627730: depth 11, type 5, seed 1926627730, output 1860412105 (2 descendants)
Task #1926921336: depth 12, type 3, seed 1926921336, output 16697 (0 descendants)
Task #1933604446: depth 12, type 1, seed 1933604446, output 858168 (0 descendants)
Task #1939806577: depth 12, type 2, seed 1939806577, output 3292640476 (0 descendants)
Task #194246926: depth 11, type 2, seed 194246926, output 3801266748 (2 descendants)
Task #1947658082: depth 9, type 2, seed 1947658082, output 2623659173 (1 descendants)
Task #1947928958: depth 12, type 3, seed 1947928958, output 10289 (0 descendants)
Task #1949490220: depth 12, type 3, seed 1949490220, output 16535 (0 descendants)
Task #1949693196: depth 11, type 3, seed 1949693196, output 12426 (1 descendants)
Task #1955514040: depth 12, type 2, seed 1955514040, output 4093370002 (0 descendants)
Task #1956605524: depth 12, type 5, seed 1956605524, output 3244307213 (0 descendants)
Task #1957085753: depth 12, type 5, seed 1957085753, output 1739644592 (0 descendants)
Task #1963670359: depth 6, type 4, seed 1963670359, output 909587257 (1 descendants)
Task #196793245: depth 12, type 2, seed 196793245, output 970072755 (0 descendants)
Task #1971147381: depth 10, type 2, seed 1971147381, output 3760828958 (1 descendants)
Task #1971561344: depth 12, type 2, seed 1971561344, output 1781129878 (0 descendants)
Task #1973404527: depth 11, type 3, seed 1973404527, output 19129 (2 descendants)
